1	NULL	NULL	NULL	NULL	kwic	kwic	permanent	-1	NULL
2	NULL	NULL	tiger	node	tree	tree	hidden	101	NULL
3	NULL	NULL	exmaralda	node	grid	exmaralda	hidden	102	NULL
4	NULL	NULL	mmax	node	grid	mmax	hidden	103	NULL
5	NULL	NULL	mmax	edge	discourse	coref	hidden	104	NULL
6	NULL	NULL	urml	node	grid	urml	hidden	105	NULL
